Type_Championnat,Année,Champion Masculin,Champion Féminin
Coupe de France Federal,2025,Rennes Etudiants Club,St-Dié des Vosges VB
Coupe de France Volley-ball,2025,Tourcoing VB Lille Métropole,Volley Mulhouse Alsace
Champions de France,2025,Tours Volley-Ball,Levallois Paris St-Cloud
Coupe de France Federal,2024,Avignon VB,St-Dié des Vosges VB
Coupe de France Volley-ball,2024,Nantes-Rézé Métropole Volley,Neptunes de Nantes
Champions de France,2024,St Nazaire VB Atlantique,Levallois Paris St-Cloud
Coupe de France Federal,2023,Conflans-Andrésy-Jouy VB,UGS Bordeaux-Mérignac Volley
Coupe de France Volley-ball,2023,Tours Volley-Ball,Béziers Volley-Ball
Champions de France,2023,Tours Volley-Ball,Volero Le Cannet
Coupe de France Federal,2022,VC Michelet Halluin,Istres Provence Volley
Coupe de France Volley-ball,2022,Chaumont VB 52 Haute-Marne,Volero Le Cannet
Champions de France,2022,Montpellier Castelnau Volley UC,Volero Le Cannet
Coupe de France Federal,2021,* -,* -
Coupe de France Volley-ball,2021,-,ASPTT Mulhouse
Champions de France,2021,AS Cannes,ASPTT Mulhouse
Coupe de France Federal,2020,* -,* -
Coupe de France Volley-ball,2020,Stade Poitevin Volley Beach,Pays d'Aix Venelles VB
Champions de France,2020,-,-
Coupe de France Federal,2019,ASUL Lyon VB,Terville Florange Olympique
Coupe de France Volley-ball,2019,Tours Volley-Ball,St-Raphaël Var VB
Champions de France,2019,Tours Volley-Ball,RC Cannes
Coupe de France Federal,2018,AS Illac,M.O. Mougins
Coupe de France Volley-ball,2018,Tourcoing VB Lille Métropole,RC Cannes
Champions de France,2018,Tours Volley-Ball,Béziers Volley-Ball
Coupe de France Federal,2017,Mende Volley Lozère,VBC Chamalières
Coupe de France Volley-ball,2017,G.F.C. Ajaccio,Pays d'Aix Venelles VB
Champions de France,2017,Chaumont VB 52 Haute-Marne,ASPTT Mulhouse
Coupe de France Federal,2016,A.S. Orange Nassau,M.O. Mougins
Coupe de France Volley-ball,2016,G.F.C. Ajaccio,RC Cannes
Champions de France,2016,Paris Volley,St-Raphaël Var VB
Coupe de France Federal,2015,St-Brieuc CAVB,SES Calais
Coupe de France Volley-ball,2015,Tours Volley-Ball,ES Cannet-Rocheville VB
Champions de France,2015,Tours Volley-Ball,RC Cannes
Coupe de France Federal,2014,Stade Poitevin Volley Beach,St-Raphaël Var VB
Coupe de France Volley-ball,2014,Tours Volley-Ball,RC Cannes
Champions de France,2014,Tours Volley-Ball,RC Cannes
Coupe de France Federal,2013,FL St-Quentin VB,Terville Florange Olympique
Coupe de France Volley-ball,2013,Tours Volley-Ball,RC Cannes
Champions de France,2013,Tours Volley-Ball,RC Cannes
Coupe de France Volley-ball,2012,Rennes Volley 35,RC Cannes
Champions de France,2012,Tours Volley-Ball,RC Cannes
Coupe de France Volley-ball,2011,Tours Volley-Ball,RC Cannes
Champions de France,2011,Stade Poitevin,RC Cannes
Coupe de France Volley-ball,2010,Tours Volley-Ball,RC Cannes
Champions de France,2010,Tours Volley-Ball,RC Cannes
Coupe de France Volley-ball,2009,Tours Volley-Ball,RC Cannes
Champions de France,2009,Paris Volley,RC Cannes
Coupe de France Volley-ball,2008,Beauvais Oise U.C.,RC Cannes
Champions de France,2008,Paris Volley,RC Cannes
Coupe de France Volley-ball,2007,AS Cannes,RC Cannes
Champions de France,2007,Paris Volley,RC Cannes
Coupe de France Volley-ball,2006,Tours Volley-Ball,RC Cannes
Champions de France,2006,Paris Volley,RC Cannes
Coupe de France Volley-ball,2005,Tours Volley-Ball,RC Cannes
Champions de France,2005,AS Cannes,RC Cannes
Coupe de France Volley-ball,2004,Paris Volley,RC Cannes
Champions de France,2004,Tours Volley-Ball,RC Cannes
Coupe de France Volley-ball,2003,Tours Volley-Ball,RC Cannes
Champions de France,2003,Paris Volley,RC Cannes
Coupe de France Volley-ball,2002,Stade Poitevin,RC Villebon 91
Champions de France,2002,Paris Volley,RC Cannes
Coupe de France Volley-ball,2001,Paris Volley,RC Cannes
Champions de France,2001,Paris Volley,RC Cannes
Coupe de France Volley-ball,2000,Paris Volley,RC Cannes
Champions de France,2000,Paris Volley,RC Cannes
Coupe de France Volley-ball,1999,Paris Volley,RC Cannes
Champions de France,1999,Stade Poitevin,RC Cannes
Coupe de France Volley-ball,1998,AS Cannes,RC Cannes
Champions de France,1998,Paris UC,RC Cannes
Coupe de France Volley-ball,1997,Paris UC,RC Cannes
Champions de France,1997,Paris UC,VBC Riom
Coupe de France Volley-ball,1996,Stade Poitevin,RC Cannes
Champions de France,1996,Paris UC,RC Cannes
Coupe de France Volley-ball,1995,AS Cannes,VBC Riom
Champions de France,1995,AS Cannes,RC Cannes
Coupe de France Volley-ball,1994,PSG Asnières,SES Calais
Champions de France,1994,AS Cannes,VBC Riom
Coupe de France Volley-ball,1993,AS Cannes,Racing Club de France
Champions de France,1993,PSG Asnières,VBC Riom
Coupe de France Volley-ball,1992,AS Fréjus Var VB,Racing Club de France
Champions de France,1992,AS Fréjus VB,Racing Club de France
Coupe de France Volley-ball,1991,AS Fréjus Var VB,VBC Riom
Champions de France,1991,AS Cannes,Racing Club de France
Coupe de France Volley-ball,1990,JSA Bordeaux,Racing Club de France
Champions de France,1990,AS Cannes,Racing Club de France
Coupe de France Volley-ball,1989,AS Fréjus VB,-
Champions de France,1989,AS Fréjus VB,Racing Club de France
Coupe de France Volley-ball,1988,Arago Sète,Racing Club de France
Champions de France,1988,AMSL Fréjus,Racing Club de France
Coupe de France Volley-ball,1987,AMSL Fréjus,CSM Clamart
Champions de France,1987,AMSL Fréjus,Racing Club de France
Coupe de France Volley-ball,1986,AMSL Fréjus,CSM Clamart
Champions de France,1986,AS Cannes,CSM Clamart
Coupe de France Volley-ball,1985,AS Cannes,-
Champions de France,1985,AS Grenoble,CSM Clamart
Coupe de France Volley-ball,1984,Asnières Sports,-
Champions de France,1984,Asnières Sports,CSM Clamart
Champions de France,1983,AS Cannes,CSM Clamart
Champions de France,1982,AS Cannes,CSM Clamart
Champions de France,1981,AS Cannes,CSM Clamart
Champions de France,1980,Asnières Sports,ASU Lyon
Champions de France,1979,Asnières Sports,ASU Lyon
Champions de France,1978,Racing Club de France,Paris UC
Champions de France,1977,Racing Club de France,ASPTT Montpellier
Champions de France,1976,VGA Saint-Maur,ASU Lyon
Champions de France,1975,Montpellier UC,ASPTT Montpellier
Champions de France,1974,Stade Français,ASPTT Montpellier
Champions de France,1973,Montpellier UC,ASPTT Montpellier
Champions de France,1972,Montpellier UC,ASPTT Montpellier
Champions de France,1971,Racing Club de France,ASPTT Montpellier
Champions de France,1970,Racing Club de France,ASPTT Montpellier
Champions de France,1969,Racing Club de France,Paris UC
Champions de France,1968,Paris UC,Paris UC
Champions de France,1967,Paris UC,Paris UC
Champions de France,1966,Asnières Sports,Racing Club de France
Champions de France,1965,Asnières Sports,Racing Club de France
Champions de France,1964,Racing Club de France,Tourcoing Sports
Champions de France,1963,Paris UC,Tourcoing Sports
Champions de France,1962,Paris UC,Montpellier UC
Champions de France,1961,* Stade Français et Caid Oran,Tourcoing Sports
Champions de France,1960,Stade Français,Stade Français
Champions de France,1959,BNCI Alger,Montpellier UC
Champions de France,1958,Stade Français,Montpellier UC
Champions de France,1957,Stade Français,Montpellier UC
Champions de France,1956,CO Billancourt,Racing Club de France
Champions de France,1955,CO Billancourt,Racing Club de France
Champions de France,1954,CO Billancourt,Racing Club de France
Champions de France,1953,Stade Français,Racing Club de France
Champions de France,1952,Stade Français,Montpellier UC
Champions de France,1951,Montpellier UC,Racing Club de France
Champions de France,1950,Montpellier UC,Montpellier UC
Champions de France,1949,Montpellier UC,Montpellier UC
Champions de France,1948,Racing Club de France,AS Cannes
Champions de France,1947,Montpellier UC,Racing Club de France
Champions de France,1946,Racing Club de France,Racing Club de France
Champions de France,1945,Stade Français,Paris UC
Champions de France,1944,-,-
Champions de France,1943,Paris UC,AS Cannes
Champions de France,1942,* RCF et RC Cannes,Villa Primerose Bordeaux
Champions de France,1941,Paris UC,Villa Primerose Bordeaux
Champions de France,1940,-,-
Champions de France,1939, Volley-Club de France, -
Champions de France,1938,SS Amicale Paris , -
Coupe de France Federal, ,Aucun,Aucun
Coupe de France Volley-ball, ,Aucun,Aucun
Champions de France, ,Aucun,Aucun
